BD3G06090	BD2G18677	OS05G45890
SB07G021880	SB04G009940	BD1G71660
SB03G010220	SB03G010210	BD2G09637
SB04G022740	SB02G012652	BD3G45840
SB10G022560	SB04G003580	BD1G37520
SB02G006800	SB07G028910	BD1G53747
SB10G029670	SB04G007903	BD1G34890
SB06G022395	SB06G022380	BD5G15520
SB01G030510	SB01G030505	BD1G77160
SB02G041500	SB01G029360	BD5G07310
SB06G016550	SB06G016575	BD5G10050
SB03G002410	SB02G043990	BD2G62300
SB02G041640	SB02G041645	BD1G19210
SB03G033415	SB03G004460	BD2G48720
SB01G009140	SB01G009135	BD1G09710
SB09G029310	SB09G029300	BD2G15690
SB01G043560	SB00G02345	BD1G70850
SB03G026390	SB03G026380	BD2G42160
SB08G021960	SB01G002120	BD3G48870
SB05G019560	SB04G021600	BD4G17390
SB01G009440	SB03G018490	BD1G10017
SB02G030560	SB07G021650	BD4G35820
SB10G030020	SB10G029990	BD1G35070
SB07G001580	SB07G001583	BD3G13757
SB06G030400	SB07G004550	BD5G23660
SB10G025570	SB04G005530	BD1G30850
SB01G008290	SB02G004150	BD1G08820
SB04G037960	SB01G017880	BD3G56120
SB04G030300	SB00G02205	BD3G52980
SB04G028900	SB03G003825	BD5G02340
SB03G042230	SB03G046610	BD2G57330
SB02G009800	SB01G000490	BD1G00887
SB09G028170	SB09G022550	BD2G16910
SB06G004530	SB05G005320	BD5G05162
SB02G028370	SB07G027795	BD4G33727
SB03G025400	SB06G028295	BD2G41220
SB06G002075	SB09G011040	BD1G35587
SB10G004010	SB10G004013	BD1G48757
SB10G029280	SB04G003040	BD0G00310
SB08G002510	SB01G032070	BD1G27890
SB08G005160	SB03G029710	BD4G40900
SB10G023810	SB10G023800	BD1G36350
SB06G033490	SB04G010310	BD4G20920
SB10G031060	SB09G025240	BD1G32500
SB06G033930	SB07G022805	BD3G20590
SB07G027870	SB02G028260	BD4G33650
SB10G031135	SB01G013846	BD1G29464
SB08G021650	SB01G022747	BD4G23097
SB08G020870	SB03G011110	BD2G10490
SB06G014760	SB06G014770	BD4G39027
SB09G019330	SB09G019325	BD2G26620
SB06G020450	SB04G024960	BD5G13666
SB01G001810	SB07G020896	BD1G02220
SB01G035720	SB01G035700	BD1G62800
SB04G019570	SB04G019786	BD3G43630
SB02G002780	SB05G020715	BD1G58240
SB09G007185	SB09G007182	BD2G31967
SB00G02400	SB00G01840	BD5G18080
SB02G003640	SB06G014485	BD1G56880
SB10G026990	SB01G049170	BD1G32410
SB03G004720	SB03G011825	BD2G04160
SB02G033840	SB06G033330	BD1G26930
SB03G026770	SB03G026760	BD2G42517
SB02G029810	SB02G029813	BD4G21770
SB10G026366	SB10G026360	BD4G14610
SB04G021070	SB10G017380	BD3G44330
SB01G037270	SB01G037250	BD1G64267
SBCG01150	SB02G017866	BDCG01010
SB04G003360	SB03G001900	BD3G03680
SB07G005940	SB07G005960	BD1G08940
SB08G001160	SB05G002540	BD4G43130
SB02G012660	SB04G031548	BD3G45860
SB02G028880	SB07G026885	BD4G34170
SB08G022800	SB02G040810	BD1G19920
SB08G008650	SB08G009943	BD4G39550
SB01G042440	SB03G027133	BD1G69520
SB08G000310	SB05G000290	BD3G05370
SB01G010575	SB01G010570	BD1G11200
SB07G022470	SB07G022460	BD3G37630
SB06G018840	SB01G031580	BD4G09437
SB07G013790	SB07G013800	BD4G08887
SB02G023660	SB10G001930	BD4G29390
SB03G026690	SB03G026680	BD2G42430
SB03G008280	SB03G001000	BD2G01010
SB03G001590	SB09G006620	BD2G07130
SB06G026130	SB01G032865	BD5G19070
SB01G015280	SB01G032660	BD1G15180
SB03G026160	SB03G026150	BD2G42017
SB09G026340	SB04G036190	BD3G54360
SB01G004016	SB02G022670	BD1G04550
SB10G008390	SB08G015131	BD1G41750
SB03G031980	SB03G031975	BD2G47320
SBCG00900	SB07G027430	BDCG00780
SB01G032530	SB09G029010	BD1G59990
SB02G020910	SB02G020900	BD4G27850
SB06G029930	SB06G029940	BD5G23210
SB01G002780	SB02G007280	BD1G03340
SB03G033540	SB00G00660	BD2G48840
SB09G024130	SB04G007590	BD4G08480
SB06G018560	SB03G031320	BD3G58172
SB08G003500	SB05G003420	BD4G42120
OS06G16290	OS02G49610	BD3G56240
OS08G02840	OS08G02800	BD3G14070
OS04G35220	OS02G29220	BD5G10290
OS08G27050	OS01G49760	BD3G22010
OS03G11490	OS06G51524	BD1G70050
OS02G03110	OS06G29650	BD5G22340
OS08G42540	OS04G55840	BD3G41530
OS04G36859	OS02G35720	BD5G10990
OS02G10400	OS03G10080	BD3G07200
OS03G58740	OS07G09384	BD1G05100
OS11G44790	OS09G36020	BD4G35830
OS01G48570	OS11G27795	BD2G46490
OS04G35480	OS05G11920	BD1G54570
OS12G35070	OS01G33400	BD4G05760
OS12G05810	OS04G44810	BD5G16530
OS04G57790	OS05G09650	BD5G25920
OS07G27140	OS01G63910	BD2G55477
OS05G40030	OS01G60690	BD2G22260
OS12G26510	OS12G26690	BD3G36550
OS06G22700	OS02G17470	BD1G41430
OS02G52250	OS06G11420	BD3G58310
OS01G05090	OS03G47550	BD2G02940
OS01G51460	OS01G51510	BD1G65020
OS01G65700	OS01G65710	BD1G70730
OS04G38950	OS03G50880	BD5G12580
OS06G14530	OS02G50050	BD1G44120
OS07G41080	OS03G14220	BD1G22250
OS09G32430	OS05G46140	BD4G34260
OS12G15420	OS11G05394	BD4G39400
OS04G47906	OS04G47912	BD5G18610
OS03G19010	OS03G19000	BD1G64750
OS05G02190	OS08G13219	BD2G37140
OS06G49030	OS02G04650	BD3G03532
OS02G37610	OS03G52890	BD3G47360
OS03G24844	OS05G01880	BD1G61764
OS11G05490	OS12G05690	BD4G42290
OS06G35770	OS02G38860	BD1G38210
OS01G60700	OS09G12300	BD2G53550
OS05G22730	OS12G29570	BD4G07440
OS06G50970	OS05G03150	BD1G30060
OS01G13080	OS06G48780	BD1G34200
OS09G29300	OS03G07730	BD4G32627
OS12G02589	OS11G02660	BD4G44300
OS11G29850	OS11G29860	BD4G19047
OS08G20270	OS05G24580	BD3G19990
OS02G39400	OS03G44159	BD3G48140
OS04G33440	OS04G33420	BD5G09140
OS08G13890	OS04G40900	BD5G13880
OS11G44860	OS10G27210	BD4G09870
OS03G52180	OS03G52170	BD1G09710
OS11G36060	OS11G34820	BD4G16160
OS12G03420	OS11G03660	BD4G43770
OS06G07130	OS08G10250	BD1G48230
OS09G01700	OS03G13720	BD1G68550
OS08G18150	OS08G18880	BD3G19820
OS03G56782	OS04G43820	BD1G06830
OS09G39594	OS09G39600	BD4G38680
OS09G12550	OS02G18820	BD3G59200
OS12G04940	OS11G04950	BD4G26590
OS10G36580	OS10G36610	BD3G30730
OSCG00040	OS10G21196	BDCG00050
OS07G46310	OS03G20700	BD1G19220
OS10G23204	OS03G08800	BD3G23300
OS02G17280	OS02G17340	BD3G10110
OS12G39650	OS03G13770	BD4G03150
OS11G37510	OS12G30490	BD4G15150
OS08G02350	OS08G02354	BD3G13757
OS01G12570	OS01G12560	BD2G07470
OS04G58550	OS04G58490	BD5G26460
OS02G17640	OS02G17620	BD3G10240
OS01G15520	OS08G32690	BD2G09420
OS01G40610	OS01G40600	BD2G42160
OS07G41810	OS07G41820	BD1G21700
OS04G50800	OS04G50810	BD5G20160
OS03G58720	OS03G60930	BD1G05110
OS03G58870	OS07G09625	BD1G05010
OS03G04520	OS01G72650	BD1G75860
OS05G28770	OS03G19180	BD2G28150
OS05G48770	OS05G48790	BD5G10830
OS04G53470	OS04G53460	BD5G22430
OS06G14510	OS03G56460	BD2G37400
OS09G30260	OS08G38730	BD3G39260
OS12G04210	OS11G04440	BD4G43310
OS08G01794	OS06G24870	BD3G13380
OS01G51410	OS06G40940	BD2G48010
OS12G38640	OS11G27300	BD4G03820
OS06G23910	OS12G22800	BD1G41750
OS03G61080	OS03G17840	BD4G25410
OS02G01245	OS02G01240	BD3G00400
OS01G61440	OS01G18160	BD2G54000
OS05G39400	OS09G20670	BD2G22620
OS12G05170	OS11G05120	BD4G42790
OS03G61019	OS07G13950	BD1G03410
OS02G04560	OS02G04620	BD3G03550
OS07G44430	OS07G44440	BD1G20040
OS09G39220	OS01G25189	BD4G38370
OS04G57760	OS10G40770	BD5G25900
OS07G48300	OS03G21550	BD1G63310
OS06G07350	OS07G18050	BD1G48140
OSCG01250	OS06G46434	BDCG01010
OS10G37570	OS10G37540	BD3G31350
OS06G04620	OS04G30550	BD1G51460
OS07G09330	OS09G15400	BD2G09540
OS05G43582	OS05G43595	BD2G20250
OS02G01190	OS05G27970	BD3G00370
OS08G18060	OS08G18030	BD2G49410
OS02G55470	OS08G36690	BD3G54230
OS12G40115	OS03G42480	BD4G02940
OS12G38260	OS08G41480	BD4G04280
OS09G21780	OS04G35620	BD4G29570
OS02G10794	OS02G10790	BD3G07490
OS03G07620	OS03G07610	BD1G73090
OS01G12000	OS05G12120	BD2G07130
OS03G03630	OS11G48010	BD1G76610
OS03G10240	OS10G21540	BD1G71240
OS01G04110	OS08G37480	BD2G02180
OS09G37860	OS02G49270	BD3G56470
OS06G06550	OS08G03830	BD1G48620
OS04G01130	OS11G34300	BD5G02470
OS10G42780	OS01G32830	BD3G34517
OS12G03180	OS11G03460	BD4G43930
OS07G46760	OS05G03870	BD1G18680
OS09G26350	OS09G10880	BD4G30970
OS01G73514	OS07G20140	BD3G31390
OS09G28550	OS08G36970	BD4G32220
OS12G41290	OS02G32340	BD4G02710
OS03G55360	OS08G43490	BD1G07830
OS02G28870	OS02G29300	BD3G43630
OS11G03550	OS12G03320	BD4G43870
OS01G04440	OS01G04540	BD2G02460
OS03G44944	OS03G44900	BD1G13450
OS04G24410	OS04G17700	BD5G04600
OS01G45070	OS01G44980	BD2G44760
OS05G08820	OS05G25680	BD2G33690
OS04G47370	OS03G03980	BD5G18290
OS06G12000	OS02G51510	BD1G45390
OS09G13920	OS05G14840	BD4G27830
OS01G68598	OS08G41360	BD2G58540
OS09G07320	OS08G25140	BD3G15390
OS11G16390	OS11G16330	BD4G20610
OS12G34854	OS06G07190	BD3G20560
OS11G38930	OS06G33980	BD1G29740
OS08G41650	OS09G12510	BD3G41020
OS08G35665	OS01G42210	BD2G43050
OS03G18410	OS02G49180	BD1G15810
OS03G22780	OS03G34230	BD1G62410
OS03G58190	OS07G08220	BD1G05520
OS03G31400	OS12G36710	BD1G16140
OS02G35650	OS08G34990	BD3G46190
OS02G40810	OS09G33740	BD3G49030
OS01G66170	OS05G00994	BD2G57150
OS04G02650	OS04G02580	BD5G01850
OS12G04440	OS11G04670	BD4G43130
OS05G47446	OS05G46845	BD2G17790
OS02G52470	OS01G41565	BD3G58120
OS12G34460	OS12G34450	BD4G06030
OS01G35990	OS01G34660	BD1G07710
OS01G67120	OS05G37000	BD2G57590
OS03G60180	OS08G36610	BD1G04060
OS01G02070	OS08G42890	BD2G00930
OS12G01940	OS11G01880	BD4G26690
OS04G58890	OS10G09550	BD5G26567
OS12G07290	OS04G35270	BD4G41520
OS02G26390	OS04G21710	BD3G12020
OS07G07580	OS06G51380	BD1G29464
OS02G27060	OS09G37250	BD3G43310
OS10G16640	OS03G11460	BD1G70080
OS10G26400	OS10G26390	BD1G07560
OS03G01250	OS07G28260	BD1G78370
OS04G42880	OS05G13680	BD5G15180
OS12G43580	OS05G40920	BD4G00967
OS02G46350	OS01G64990	BD1G22170
OS10G35480	OS04G44730	BD3G29960
OS10G30870	OS10G05890	BD3G27730
OS01G33800	OS01G33840	BD2G13840
OS01G57240	OS05G42290	BD2G51790
OS05G28780	OS06G10840	BD2G28130
OS10G35550	OS01G15860	BD3G29980
OS07G44790	OS03G28400	BD1G19830
OS03G52970	OS09G25370	BD1G09210
OS01G51540	OS06G40910	BD2G48040
OS05G25880	OS05G25870	BD2G30590
OS12G02100	OS11G02159	BD4G25590
OS06G06040	OS03G62670	BD1G49130
OS07G39730	OS01G41000	BD1G23140
OS04G35580	OS02G34930	BD5G10590
OS03G50325	OS03G50320	BD1G11317
OS07G38600	OS05G10980	BD2G39330
OS12G04270	OS11G04500	BD4G43250
OS11G13420	OS05G25400	BD2G06000
OS01G12920	OS01G12910	BD2G07740
OS05G49450	OS05G49400	BD4G36350
OS06G12876	OS07G40730	BD1G22590
OS03G61090	OS07G13969	BD1G03340
OS05G39650	OS03G50040	BD1G11130
OS01G02860	OS01G02850	BD2G01330
OS05G03620	OS03G30050	BD2G38200
OS09G01640	OS05G23240	BD4G08167
OSMG00680	OS12G33946	BD1G17527
OS02G54100	OS08G08655	BD3G60070
OS10G41870	OS10G41860	BD3G33870
OS02G39630	OS02G38750	BD3G48430
OS02G20430	OS01G63900	BD2G55470
OS02G39830	OS04G42134	BD3G48520
OS01G40110	OS01G40120	BD2G41957
OS12G35570	OS07G17770	BD4G05570
OS03G15190	OS03G11130	BD1G67680
OS12G02380	OS11G02450	BD4G25740
OS03G19280	OS03G19275	BD1G64597
OS12G05210	OS11G05170	BD4G42710
OS05G41810	OS12G41430	BD2G21017
OS07G31140	OS04G48750	BD5G19010
OS01G60050	OS01G60040	BD2G53267
OS01G10290	OS10G41110	BD3G33350
OS10G11110	OS08G01110	BD3G12940
OS02G17370	OS06G22654	BD3G10166
OS02G58360	OS02G58380	BD3G60570
OS12G03070	OS11G03390	BD4G26130
OS06G02410	OS03G42850	BD1G50440
OS08G04170	OS06G49920	BD3G14480
OS11G37130	OS06G01290	BD1G39520
OS09G12800	OS07G19560	BD1G19280
OS05G07030	OS01G06510	BD2G34680
OS02G04130	OS03G49160	BD3G03070
OS07G27790	OS05G03820	BD2G38340
OS10G41170	OS03G01190	BD1G78420
OS02G34640	OS04G35390	BD3G45570
OS06G36890	OS03G08300	BD1G72620
OS06G20400	OS04G57819	BD5G25980
OS07G26930	OS07G26920	BD1G28710
OS04G40640	OS02G38330	BD5G13666
OS03G08624	OS03G08630	BD1G72320
OS09G26900	OS08G35490	BD4G31330
OS10G26690	OS03G07290	BD1G73780
OS04G56995	OS09G10730	BD5G25330
OS02G10940	OS02G10950	BD3G07630
OS06G40850	OS05G30630	BD1G36140
OS08G19490	OS03G55164	BD1G07980
OS09G20540	OS08G31760	BD3G35640
OS03G53970	OS05G46920	BD1G08460
OS05G27660	OS03G18700	BD1G65060
OS12G03960	OS11G04160	BD4G26330
OS08G02360	OS03G62720	BD1G20450
OS11G37540	OS01G52810	BD4G15117
OS12G04160	OS11G04370	BD4G26480
OS12G25640	OS11G29340	BD4G19110
OS02G57180	OS02G55720	BD3G55340
OS06G49750	OS05G24570	BD1G34910
OS04G33510	OS01G09500	BD5G09230
OS02G43920	OS06G46540	BD3G50600
OS04G58560	OS03G27350	BD5G26480
OS10G41450	OS07G07020	BD3G33620
OS09G29800	OS08G38010	BD4G32910
OS08G43290	OS09G35700	BD3G42070
OS03G20330	OS07G48800	BD1G64050
OS06G44810	OS02G08080	BD1G31357
OS03G02690	OS03G02570	BD1G77400
OS06G30901	OS06G30894	BD1G39436
OS12G08800	OS01G59320	BD2G52830
OS07G36470	OS07G36465	BD1G25220
OS02G06850	OS06G46580	BD3G04870
OS07G43322	OS07G43316	BD1G20720
OS01G67730	OS02G10430	BD2G57960
OS12G26060	OS11G29390	BD4G07810
OS07G32480	OS06G19420	BD1G26580
OSCG00610	OS02G24598	BDCG00510
OS09G35720	OS05G18730	BD4G35730
OS09G12710	OS03G32020	BD4G27580
OS03G50270	OS01G57500	BD1G11270
OS12G01540	OS11G01540	BD4G44844
OS08G42440	OS09G33550	BD3G41500
OS05G19030	OS05G19000	BD4G07637
OS05G46860	OS05G46770	BD4G26200
OS02G53360	OS06G10570	BD1G46270
OS11G34950	OS11G34980	BD4G16467
OS02G44704	OS03G06379	BD3G51310
OS03G52150	OS11G45150	BD1G09750
OS04G51080	OS02G14290	BD5G20410
OS03G53890	OS04G21720	BD1G08530
OS04G50780	OS02G46830	BD5G20140
OS01G66730	OS01G47256	BD2G45690
OS12G20310	OS01G13250	BD3G52820
OS05G46450	OS01G50934	BD2G18140
OSMG00690	OS09G08890	BD4G10447
OS12G43370	OS08G42910	BD3G41840
OS03G62260	OS03G62250	BD1G02380
OS02G09600	OS02G49640	BD3G06540
OS02G13980	OS06G35830	BD3G09013
OS03G55680	OS03G55670	BD1G07550
OS01G05100	OS03G47540	BD2G02950
OS01G63410	OS05G37780	BD2G55200
OS02G07120	OS02G07340	BD1G17710
OS11G37670	OS10G02690	BD4G14970
OS02G02990	OS05G41630	BD3G02180
OS08G01859	OS06G23210	BD5G03950
OS09G23690	OS03G43570	BD4G29840
OS06G29220	OS06G29180	BD1G42270
OS12G40279	OS03G63210	BD4G02910
OS01G19400	OS10G05940	BD2G11457
OS03G51140	OS02G33540	BD1G10447
OS12G43100	OS12G06620	BD3G55700
OS07G33660	OS03G58280	BD1G26070
OS04G02500	OS05G14040	BD5G01880
OS01G49110	OS01G49060	BD1G74340
OS05G18774	OS04G22860	BD5G00720
OS12G06980	OS12G06990	BD4G41697
OS01G37210	OS07G25900	BD4G45100
OS10G14194	OS10G13914	BD3G15970
OS03G02600	OS04G09810	BD1G77370
OS10G42320	OS10G35360	BD3G34097
OS10G42090	OS03G39380	BD3G33920
OS02G07800	OS03G49890	BD3G05530
OS01G71790	OS01G28050	BD2G60620
OS12G04860	OS11G04850	BD4G43030
OS12G06220	OS12G06210	BD4G42030
OS09G28019	OS03G55660	BD4G31937
OS08G31930	OS12G14840	BD3G35790
OS01G08820	OS08G19374	BD2G05320
OS04G32150	OS03G01450	BD5G08360
OS09G21210	OS09G21170	BD4G29390
OS01G09870	OS05G10990	BD2G05920
OS07G38950	OS07G07820	BD1G23620
OS06G07969	OS06G07869	BD1G47890
OS04G41860	OS01G29860	BD5G14513
OS07G12630	OS03G60130	BD1G04097
OS01G55880	OS08G07540	BD2G50810
OS01G69970	OS06G30680	BD2G59226
OS03G43770	OS12G41630	BD1G13990
OS09G06620	OS09G06660	BD5G18580
OS06G05910	OS06G05900	BD1G49240
OS02G50400	OS02G50390	BD3G59860
OS07G16950	OS07G17040	BD2G14350
OS02G56930	OS02G56940	BD3G55110
OS12G41760	OS05G01330	BD2G39870
OS01G43510	OS05G50730	BD2G44000
OS11G25920	OS07G03980	BD2G52390
OS04G41280	OS02G25960	BD5G14137
OS08G06540	OS03G37954	BD3G16185
OS01G51030	OS05G46440	BD2G47770
OS10G13700	OS03G15050	BD1G67730
OS04G40720	OS07G45740	BD5G13737
OS06G49120	OS02G04510	BD0G00310
OS01G13100	OS01G13090	BD2G07800
OS09G36890	OS11G05150	BD4G36570
OS03G42110	OS10G35170	BD1G14590
OS03G15120	OS03G54230	BD1G67700
OS08G10590	OS08G10580	BD3G17857
OS06G07996	OS02G55940	BD3G54420
OS02G44132	OS01G64370	BD2G55807
OS03G39820	OS03G29910	BD1G15180
OS10G36340	OS10G22970	BD3G30370
OS06G45480	OS02G47430	BD1G31890
OS07G29770	OS05G42200	BD1G27807
OS12G04934	OS11G04935	BD4G26580
OS12G13120	OS11G18990	BD4G39695
OS12G05000	OS11G04990	BD4G42940
OS02G05440	OS02G05365	BD3G03740
OS02G02110	OS01G39810	BD3G01150
OS01G53940	OS01G53970	BD2G49467
OS10G41150	OS01G53450	BD3G33370
OS02G58270	OS02G58260	BD3G60470
OS05G31230	OS04G42120	BD5G14667
OS11G07470	OS02G55010	BD4G24197
OS03G30740	OS03G30750	BD4G07770
OS07G06080	OS01G41160	BD1G57360
OS02G55920	OS07G35620	BD3G54400
OS10G40260	OS07G45400	BD1G21177
OS09G32274	OS08G40610	BD4G34170
OS12G36930	OS08G17060	BD3G19520
OS02G02730	OS08G27200	BD3G01830
OS08G36330	OS05G06840	BD3G37840
OS09G29070	OS08G37380	BD4G32530
OS03G01730	OS04G02890	BD1G78057
OS10G21398	OSCG01300	BDCG01060
OS04G57590	OS11G37920	BD5G25750
OS01G46510	OS01G46450	BD2G45380
OS07G35600	OS04G40320	BD4G44770
OS06G45460	OS06G35740	BD1G31880
OS10G07210	OS09G17660	BD3G20830
OS12G04520	OS11G04740	BD4G43070
OSMG00250	OS12G14930	BD1G47515
OS01G68090	OS01G68080	BD2G58240
OS07G34730	OS02G24340	BD1G25790
OS03G57430	OS03G57425	BD1G06310
OS02G21925	OS02G21920	BD3G10710
OS12G02370	OS11G02440	BD4G44390
OS10G37870	OS10G37860	BD3G31560
OS06G46960	OS01G07180	BD1G33060
OS08G01920	OS07G22390	BD3G13467
OS02G37870	OS01G05530	BD3G47400
OS05G28010	OS01G46020	BD2G45180
OS12G10910	OS12G10850	BD4G40140
OS03G58700	OS03G58690	BD1G05122
OS12G37710	OS07G17390	BD4G04640
OS12G02030	OS11G02070	BD4G25540
OS02G26984	OS03G37320	BD3G43260
OS05G13950	OS01G12870	BD2G07690
OS07G48970	OS03G19410	BD1G64507
OS07G49260	OS03G18190	BD1G16640
OS01G42140	OS01G51480	BD2G43030
OS01G19140	OS12G29990	BD2G11360
OS03G09260	OS03G09270	BD1G07717
OS03G58930	OS08G28740	BD1G04940
OS02G53260	OS05G32180	BD3G57580
OS03G07260	OS09G25010	BD1G73790
